数据ID,用户ID,商品ID,评论时间戳,评论标题,评论内容,评分
TRAIN_0,891,PRODUCT_179,1308240000,好评！推荐购买,性价比很高，推荐购买！ 购买后使用了29天，整体感觉,5
TRAIN_1,4412,PRODUCT_201,1340380800,好评！推荐购买,物流很快，包装完好。 购买后使用了24天，整体感觉,5
TRAIN_2,617,PRODUCT_913,1297094400,好评！推荐购买,质量很好，非常满意！ 购买后使用了27天，整体感觉,5
TRAIN_3,4766,PRODUCT_592,1365436800,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了30天，整体感觉,5
TRAIN_4,300,PRODUCT_564,1339862400,好评！推荐购买,续航能力强，很实用。 购买后使用了16天，整体感觉,4
TRAIN_5,1217,PRODUCT_374,1363190400,中评，一般般,还算满意吧。 购买后使用了24天，整体感觉,3
TRAIN_6,2383,PRODUCT_137,1375977600,好评！推荐购买,物流很快，包装完好。 购买后使用了13天，整体感觉,4
TRAIN_7,2980,PRODUCT_514,1295625600,好评！推荐购买,颜色正，尺寸合适。 购买后使用了22天，整体感觉,5
TRAIN_8,1358,PRODUCT_775,1384704000,差评，需要改进,价格偏高，性价比不高。 购买后使用了6天，整体感觉,2
TRAIN_9,4639,PRODUCT_971,1393862400,好评！推荐购买,性价比很高，推荐购买！ 购买后使用了24天，整体感觉,5
TRAIN_10,3960,PRODUCT_961,1357228800,差评，需要改进,操作复杂，不容易上手。 购买后使用了8天，整体感觉,1
TRAIN_11,514,PRODUCT_270,1359129600,中评，一般般,正常水平，可以接受。 购买后使用了17天，整体感觉,3
TRAIN_12,2959,PRODUCT_397,1376841600,好评！推荐购买,质量很好，非常满意！ 购买后使用了2天，整体感觉,5
TRAIN_13,2654,PRODUCT_105,1386000000,好评！推荐购买,正品保证，值得信赖。 购买后使用了27天，整体感觉,4
TRAIN_14,2157,PRODUCT_592,1390060800,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了21天，整体感觉,4
TRAIN_15,3100,PRODUCT_374,1307548800,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了30天，整体感觉,4
TRAIN_16,1825,PRODUCT_528,1365609600,好评！推荐购买,客服态度很好，解决问题及时。 购买后使用了16天，整体感觉,4
TRAIN_17,3949,PRODUCT_908,1294934400,好评！推荐购买,性价比很高，推荐购买！ 购买后使用了15天，整体感觉,4
TRAIN_18,1356,PRODUCT_235,1307376000,好评！推荐购买,正品保证，值得信赖。 购买后使用了7天，整体感觉,4
TRAIN_19,1230,PRODUCT_191,1321632000,好评！推荐购买,物流很快，包装完好。 购买后使用了22天，整体感觉,4
